artist,albums,tracks,bytes,in_active,active_tracks
Kamaara,2,6,11207689,no,0
Karl Böhm,1,6,136598330,no,0
Kate Bush,5,6,21343012,no,0
Kerli,2,6,22945744,no,0
"Kevin Murphy, Laurence O'Keefe",1,6,21538578,no,0
KevinKempt,4,6,11204108,no,0
"Khai Dreams, Atwood",1,6,14657725,no,0
Kid Travis,6,6,14727024,no,0
"Killer Mike, El-P",2,6,22092057,no,0
Kings Of The Rollers,4,6,28061318,no,0
LA Vampires feat. Matrix Metals,1,6,34395743,no,0
Labyrinth Ear,4,6,21867761,no,0
Lacuna Coil,5,6,22393797,no,0
Lard Free,1,6,38604936,no,0
Leila Josefowicz; Academy of St Martin in the Fields; Sir Neville Marriner,1,6,132241179,no,0
Lil Uzi Vert,3,6,20493449,no,0
Linkin Park & Steve Aoki,1,6,29275254,no,0
Little Richard,4,6,10869815,no,0
Lorn,4,6,16699344,no,0
"Ludwig van Beethoven, Felix Mendelssohn; Monica Huggett, Orchestra of the Age of Enlightenment, Charles Mackerras",1,6,134275576,no,0
"Luza Cult, Lui Surreal, SAVE Az",4,6,12168165,no,0
MISSIO,2,6,20122601,no,0
Magenta,3,6,24144999,no,0
Mantis,2,6,27422650,no,0
"Marcin Przybyłowicz, P.T. Adamczyk, Paul Leonard-Morgan",1,6,22346089,no,0
Marthe,1,6,42946618,no,0
Michael Nyman; Valentina Lisitsa,1,6,30164132,no,0
Million Brazilians,1,6,11094500,no,0
Mustapha Mond,1,6,17026244,no,0
NAHASHEOL,1,6,38552348,no,0
Nascar Aloe,5,6,9241254,no,0
Nest,1,6,26723460,no,0
New Bloods,1,6,11895706,no,0
Ninja Sex Party,2,6,19057956,no,0
Nitroverts,1,6,24245074,no,0
Nixil,1,6,36279210,no,0
Nusquama,1,6,35189693,no,0
Of Mice & Men,3,6,20588131,no,0
OmenXiii,5,6,12630925,no,0
PJ Harvey,5,6,16732903,no,0
Panic! at the Disco,2,6,18278621,no,0
Paul Shapera,3,6,33969118,no,0
Peach Pit,3,6,21525325,no,0
Perpetually Pist,3,6,16192245,no,0
Phoenix & Gaga,1,6,15709256,no,0
Pitbull,4,6,22119305,no,0
Playboi Rare,6,6,13475722,no,0
Pleasure Venom,2,6,19063526,no,0
Premium,5,6,23612046,no,0
Propellerheads,3,6,37351270,no,0
Qumu,6,6,17145587,no,0
R.E.M_,5,6,25596957,no,0
Red Aunts,3,6,11987658,no,0
Rhythm Section,2,6,29780735,no,0
Ritualz,4,6,23053713,no,0
Roy Orbison,6,6,16185488,no,0
SINIZTER,6,6,13004819,no,0
SORGSVART,1,6,38696602,no,0
Sam Cooke,6,6,15617703,no,0
Sara Landry,5,6,29675185,no,0
Scale the Summit,2,6,24554665,no,0
Seether,5,6,22423009,no,0
Selena Gomez,4,6,19820231,no,0
"Sidewalks and Skeletons, CASHFORGOLD",4,6,18037980,no,0
Sindelfingen,1,6,39603856,no,0
Siouxsie And The Banshees,5,6,21609252,no,0
Sir Chloe,2,6,17545447,no,0
Sky Pig,1,6,79040464,no,0
Slant 6,2,6,12067310,no,0
Sly & The Family Stone,4,6,17478987,no,0
Snakemother,1,6,34164946,no,0
Staind,5,6,24757569,no,0
