artist,albums,tracks,bytes,in_active,active_tracks
Regina Spektor,8,81,325173302,no,0
Sabrina Carpenter,7,81,388537782,no,0
Silverchair,8,81,462869037,no,0
Skold,8,81,469049252,no,0
Thy Art Is Murder,16,81,311948092,no,0
Tool,9,81,539147909,yes,69
A Perfect Circle,8,80,511819612,no,0
DJ Cummerbund,80,80,294750634,no,0
Stone Sober,24,80,239674187,no,0
Wagon Christ,7,80,768012135,no,0
t.A.T.u_,8,80,566886741,no,0
Danny Brown,5,79,186613566,no,0
Horace Andy,6,79,294395742,no,0
Ka,7,79,467238613,no,0
Kendrick Lamar,8,79,354799474,no,0
Philip Glass,8,79,1119751047,no,0
Spice Girls,6,79,637768657,no,0
The String Cheese Incident,8,79,764378938,no,0
Austrian Death Machine,7,78,391641033,no,0
Aye Mammoth,13,78,198974919,no,0
Electric Octopus,14,78,1195840525,no,0
Kanine,49,78,294472151,no,0
grandson,31,78,254273085,no,0
Cannabis Corpse,8,77,428323185,no,0
Gruff Rhys,7,77,559919053,no,0
Ludwig van Beethoven,3,77,981659475,no,0
Nekrogoblikon,11,77,459384597,no,0
Periphery,7,77,429476625,no,0
Portishead,15,77,328663681,no,0
"Run The Jewels, El-P, Killer Mike",18,77,298945508,no,0
Flobots,6,76,487085639,no,0
Nova Twins,20,76,211907390,no,0
PinkPantheress,21,76,198072926,no,0
"Stock, Hausen & Walkman",4,76,201143346,no,0
The xx,8,76,255068945,no,0
"Tyler, The Creator",10,76,229176095,no,0
First Blood,10,75,206757456,no,0
Haste the Day,6,75,521556927,no,0
"Iron Reich, Akira Yamaoka",3,75,230983631,no,0
Layo & Bushwacka,15,75,474754990,no,0
R.A. the Rugged Man,6,75,259554465,no,0
The Sword,7,75,465503187,no,0
Three Days Grace,10,75,242942973,no,0
Knocked Loose,10,74,205993632,no,0
Spike and the Gimme Gimmes,6,74,271603694,no,0
System Of A Down,6,74,206491243,yes,74
Iscariot,19,73,258715035,no,0
DADA1K,31,72,171599678,no,0
Ratatat,11,72,250227998,no,0
Shadows Fall,7,72,366726304,no,0
BOREDOMS,6,71,280278869,no,0
Bob Vylan,16,71,191658670,no,0
J.B.O_,8,71,238260962,no,0
